solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat
1636042515805110273,"Gaia EDR3 4295806720",4295806720,1067963836,2016.0,44.99615537864534,0.10161827,0.005615226341865997,0.10133387,0.3543305595550248,0.12266381,2.8886316,12.616485,11.93835156938502,0.13794228,-4.0806193394130865,0.13316983,0.12293493,0.13202813,-0.08891027,0.022551458,-0.3653421,-0.03690377,-0.24483804,0.06301233,0.13570854,0.3343367,184,0,183,1,2.6720488,242.20697,0.3806193,2.0765078,31,False,1.5089388,,,,,,,,22,16,0.21780181,22,9,0,0.01759732,90.23934,0,0,1.1429516,0.30795118,0.19765861,0.43010107,0.8420776,-87.75478,-30.69455,-46.20191,30.174356,False,182,1653.39471645947,2.0757642,796.5234,17.641426,18,800.4295459066461,12.601409,63.51905,18.080235,20,1187.588003883822,15.823832,75.0506,17.061232,0,0,0,2,0,1.2023853,1.0190029,0.43880844,0.5801945,,,0,,,,176.95107618038946,-48.901520870941965,42.53372584780011,-16.32957416215404
1636042515805110273,"Gaia EDR3 34361129088",34361129088,1721389493,2016.0,45.00432028915398,0.09731972,0.021047763781174733,0.101752974,3.235017271512856,0.12045025,26.857704,35.230515,29.518344127131527,0.13369285,19.231654938806578,0.13392176,0.16325329,6.428645E-4,-0.073663116,-0.012016551,-0.40389284,-0.10152152,-0.31593448,0.14065048,0.23142646,0.38175407,172,0,171,1,1.081467,194.59933,0.26741344,1.0328022,31,False,1.285487,,,,,,,,20,15,0.22053866,20,9,0,0.05737302,84.542816,0,0,1.0578898,0.28431648,0.18242157,0.4234895,0.8483561,-101.856606,-31.586445,-44.381237,29.909302,False,170,1763.191386728999,2.1212356,831.2096,17.571619,18,389.99713585371074,9.491409,41.089485,18.86089,19,2178.214858374066,15.074686,144.49487,16.402643,0,2,0,1,0,1.4565701,2.4582462,1.2892704,1.1689758,,,0,,,,176.94278852482034,-48.88493355232444,42.54657309907107,-16.317212317623884
1636042515805110273,"Gaia EDR3 38655544960",38655544960,1553909024,2016.0,45.004978371745516,0.017885398,0.019879675701858644,0.01877158,3.1391701154499523,0.022347411,140.47131,35.30821,29.686339048921702,0.023771733,19.115199913956804,0.023830384,0.1152631,0.07323115,-0.10691941,-0.03021361,-0.4488658,-0.15551351,-0.37927917,0.18184616,0.26367012,0.35528076,183,0,182,1,0.26434276,181.43846,0.0,0.0,31,False,1.4550159,,,,,,,,21,15,0.03929549,21,9,0,0.024301996,98.629005,0,0,1.012191,0.30656147,0.20578752,0.45299426,0.84656596,-96.31889,-34.497215,-44.82578,30.34742,False,180,42030.60043942405,11.392837,3689.213,14.128453,20,17955.47937733753,26.03932,689.55255,14.70305,19,34263.48754002838,36.75135,932.30554,13.410816,0,3,0,2,0,1.2424035,1.2922335,0.5745964,0.71763706,,,0,,,,176.94476211452783,-48.88527012426483,42.546872019115916,-16.318521975182243
1636042515805110273,"Gaia EDR3 309238066432",309238066432,962691240,2016.0,44.99503714416301,0.32203946,0.03815169755425531,0.28350487,1.383149618921834,0.3679067,3.759512,1.4727513,0.7103390705704198,0.42764622,-1.2901219547580884,0.36472937,0.03106277,0.20047423,0.053646818,0.059748437,-0.22102031,-0.016839314,-0.1366297,0.17996399,0.052951075,0.2114783,191,0,191,0,-0.2411824,192.30405,0.0,0.0,95,False,,1.2866279,0.09077451,-0.15719244,0.010361881,-0.08222571,-0.10675345,-0.088080674,22,16,0.61991394,22,9,0,0.03555097,87.96405,0,0,0.98569405,0.2692287,0.18958144,0.31953108,0.84679353,-67.002,-0.060676254,-50.141193,28.862438,False,191,269.1941319587031,1.1080056,242.95375,19.612204,15,70.17439392861222,8.844292,7.9344277,20.723095,15,353.6991036963679,9.905063,35.70892,18.37631,0,0,0,1,0,1.5746015,2.3467846,1.1108913,1.2358932,,,0,,,,176.91426546354342,-48.87974731314605,42.54254814418276,-16.298138818420995
1636042515805110273,"Gaia EDR3 343597448960",343597448960,815259260,2016.0,44.96389626549711,0.117176004,0.04359494367771267,0.10900387,0.196147669341387,0.13346447,1.4696621,6.845276,6.567298538749751,0.15457995,-1.9309049068089978,0.13605057,0.090631574,0.16464804,-0.104230516,-0.0064024627,-0.17142503,-0.02335182,-0.23532525,0.07184748,0.014762368,0.15831754,200,0,198,2,-0.38067642,193.0639,0.0,0.0,31,False,1.4593558,,,,,,,,23,15,0.22152685,23,10,0,0.032447632,87.08487,0,0,0.97897136,0.26817003,0.14093351,0.26649037,0.87689584,-59.657413,-17.643497,-47.965027,30.37381,False,190,1049.3820358447672,1.7455142,601.1879,18.135033,19,442.6413531703329,11.3051605,39.15392,18.723412,18,827.8577075970983,14.239632,58.137577,17.453007,0,0,0,0,0,1.2107116,1.2704048,0.5883789,0.6820259,,,0,,,,176.87542435981376,-48.89837938771351,42.513192307407294,-16.283806024119286
1636042515805110273,"Gaia EDR3 515396233856",515396233856,312585533,2016.0,44.99832707810714,0.32520288,0.0663327072023917,0.32525727,0.242393515888563,0.37432367,0.6475506,9.078264,4.4730107982688825,0.41343114,-7.899813584834864,0.36434412,0.25799984,0.080821596,-0.119446635,0.0012481036,-0.22621834,0.0029035355,-0.20500349,0.054882184,0.028035868,0.20633933,194,0,193,1,3.4123306,273.87466,1.3335108,2.7009406,31,False,1.4801952,,,,,,,,22,15,0.6022275,22,10,0,0.022698529,135.08029,0,0,1.1791685,0.2582507,0.19869627,0.32451424,0.8362157,-67.00291,-28.493275,-48.898422,29.621029,False,189,317.34312268458626,1.2099701,262.27353,19.433544,19,145.8466998027093,9.856594,14.796865,19.9288,17,216.13369741198863,9.56562,22.594843,18.911089,0,0,0,0,0,1.1406593,1.0177116,0.49525642,0.5224552,,,0,,,,176.8869029734255,-48.85781465787351,42.55442860393688,-16.27215908611517
1636042515805110273,"Gaia EDR3 549755818112",549755818112,1638831585,2016.0,45.04828232129832,0.027803512,0.04825396034378256,0.026499804,1.5834770072004039,0.03442545,45.99728,16.465364,0.8431278207235642,0.03881713,-16.443764103221557,0.032919735,0.15041357,-0.14103404,0.058549184,0.17610951,-0.47409967,0.19906765,0.040113226,-0.14495842,-0.13733767,0.25881717,186,0,185,1,1.7361301,220.66844,0.072144866,0.96563005,31,True,1.4643211,,,,,,,,21,13,0.05741181,21,8,0,0.02840035,136.8429,0,0,1.0909767,0.3311718,0.18608999,0.49344972,0.84215754,-121.24405,-9.218482,-38.814762,29.860806,False,182,19047.581229390133,6.5483584,2908.7566,14.987767,18,8336.447382322891,16.801348,496.1773,15.53609,17,15362.299344786756,18.731024,820.15265,14.2817545,0,0,0,0,0,1.2441866,1.2543354,0.5483227,0.7060127,,,0,,,,176.95936562964246,-48.83439750417775,42.59867306757699,-16.30407740663594
1636042515805110273,"Gaia EDR3 828929527040",828929527040,1688599581,2016.0,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,1.2030946627289945,0.066816084,18.006063,17.646046,13.952005440191227,0.078203134,-10.803908607898379,0.077209964,0.15176746,0.035847045,-0.17484911,-0.019222464,-0.43819016,-0.13019522,-0.38296714,0.18708444,0.24369827,0.3748652,180,0,174,6,0.67423594,189.07535,0.0,0.0,31,False,1.4280801,,,,,,,,21,15,0.12849106,21,9,0,0.021228304,100.85552,0,0,1.0349011,0.31510893,0.21111594,0.4635199,0.84135246,-94.50633,-34.891853,-45.02362,30.44096,False,175,4394.201551830577,3.3469398,1312.9012,16.580168,15,1758.2038783868772,16.53475,106.33386,17.225868,17,3789.788093274453,18.455858,205.34337,15.801358,0,2,0,0,0,1.2625711,1.42451,0.64570045,0.77880955,,,0,,,,176.91130587619824,-48.838162803700186,42.58025775246733,-16.277574201332826
1636042515805110273,"Gaia EDR3 927713095040",927713095040,953462926,2016.0,45.02672698087207,0.30374447,0.08169947826793385,0.32289186,-0.1227283179721069,0.36876312,-0.3328107,3.9802253,3.762188004167931,0.47211185,-1.2992822688041268,0.48244408,0.19033876,0.12118833,-0.11371637,-0.09805026,-0.39078718,-0.2447011,-0.4487131,0.22433746,0.18515459,0.5060088,169,0,169,0,1.7137498,203.0846,0.8263916,1.1981473,95,False,,1.454281,0.09464904,-0.25341323,-0.05403708,-0.16367076,-0.0881793,0.047458548,19,14,0.8255564,19,8,0,0.01556894,139.41017,0,0,1.0942938,0.3632568,0.22999239,0.50583684,0.8345062,-83.60305,-36.492233,-47.43565,30.496729,False,168,334.42594835683894,1.3685651,244.36247,19.376617,18,100.58827488675792,9.140166,11.005081,20.332174,19,340.96045716072354,7.565854,45.065693,18.416136,0,3,0,1,0,1.3203183,1.9160385,0.95555687,0.96048164,,,0,,,,176.90006095497156,-48.82670678019144,42.587404594294846,-16.265785881873917
1636042515805110273,"Gaia EDR3 966367933184",966367933184,659303371,2016.0,45.039080477403814,0.4010121,0.08685485276440565,0.39762557,1.4676968712367453,0.45979142,3.192093,4.0991106,2.1913411748700167,0.60958207,3.4642070755210894,0.5775756,0.18675442,0.009440674,-0.0653261,0.09750326,-0.26900843,0.04917616,-0.16716489,0.102290936,0.08294443,0.39881918,185,8,182,3,-0.8833106,178.54054,0.0,0.0,95,False,,1.1636431,0.12458883,-0.10259178,-0.0010832989,-0.065867044,-0.09567034,-0.0470962,22,16,0.9726541,22,9,0,0.034763664,81.91879,0,0,0.9514274,,,,,,,,,False,180,192.94201885633368,1.0264632,187.9678,19.9738,13,41.570137046350446,8.182405,5.08043,21.291588,18,239.94429976479972,14.923929,16.077824,18.797619,0,1,0,1,0,1.4590623,2.493969,1.3177872,1.1761818,,,0,,,,176.90745054302553,-48.814236264472086,42.601281619125515,-16.26447395755849
